request_id,user_id,category,direction,event_type_values,observation_count,historical_dates,intervals_days,median_interval_days,amounts,median_amount,inferred_by_current_engine
request_05,user_05,debt_repayment,debit,debt_payment,5,2025-06-11|2025-07-11|2025-08-11|2025-09-11|2025-10-11,30|31|31|30,30.5,968.00|968.00|968.00|968.00|968.00,968.00,True
request_05,user_05,healthcare,debit,expense,5,2025-06-10|2025-07-10|2025-08-10|2025-09-10|2025-10-10,30|31|31|30,30.5,777.27|641.37|632.59|721.44|722.37,721.44,True
request_05,user_05,family_support,debit,expense,5,2025-06-13|2025-07-13|2025-08-13|2025-09-13|2025-10-13,30|31|31|30,30.5,840.40|840.40|840.40|840.40|840.40,840.40,True
request_05,user_05,cloud_storage,debit,subscription,5,2025-06-12|2025-07-12|2025-08-12|2025-09-12|2025-10-12,30|31|31|30,30.5,113.30|113.30|113.30|113.30|113.30,113.30,True
request_05,user_05,shopping,debit,expense,5,2025-06-12|2025-07-12|2025-08-12|2025-09-12|2025-10-12,30|31|31|30,30.5,379.94|404.24|422.67|420.31|362.09,404.24,True
request_05,user_05,groceries,debit,expense,26,2025-05-13|2025-05-20|2025-05-27|2025-06-03|2025-06-10|2025-06-17|2025-06-24|2025-07-01|2025-07-08|2025-07-15|2025-07-22|2025-07-29|2025-08-05|2025-08-12|2025-08-19|2025-08-26|2025-09-02|2025-09-09|2025-09-16|2025-09-23|2025-09-30|2025-10-07|2025-10-14|2025-10-21|2025-10-28|2025-11-04,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,784.81|818.16|680.15|530.44|695.96|835.00|635.23|661.93|567.19|767.92|807.31|800.63|813.64|853.42|773.83|845.02|762.65|515.40|682.39|675.81|547.60|826.66|768.64|709.62|684.39|720.51,741.58,True
request_05,user_05,transport,debit,expense,13,2025-05-14|2025-05-28|2025-06-11|2025-06-25|2025-07-09|2025-07-23|2025-08-06|2025-08-20|2025-09-03|2025-09-17|2025-10-01|2025-10-15|2025-10-29,14|14|14|14|14|14|14|14|14|14|14|14,14,489.31|424.26|504.23|492.86|363.28|311.00|431.81|354.20|485.59|411.47|377.26|352.46|388.74,411.47,True
request_06,user_06,salary,credit,income,5,2025-08-15|2025-09-15|2025-10-15|2025-11-15|2025-12-15,31|30|31|30,30.5,1441.00|1441.00|1441.00|1037.52|1037.52,1441.00,True
request_06,user_06,rent,debit,expense,5,2025-08-03|2025-09-03|2025-10-03|2025-11-03|2025-12-03,31|30|31|30,30.5,254.10|254.10|254.10|254.10|254.10,254.10,True
request_06,user_06,utilities,debit,expense,5,2025-08-07|2025-09-07|2025-10-07|2025-11-07|2025-12-07,31|30|31|30,30.5,58.34|52.62|58.98|56.71|51.86,56.71,True
request_06,user_06,insurance,debit,expense,5,2025-08-08|2025-09-08|2025-10-08|2025-11-08|2025-12-08,31|30|31|30,30.5,26.00|26.00|26.00|26.00|26.00,26.00,True
request_06,user_06,cloud_storage,debit,subscription,5,2025-08-13|2025-09-13|2025-10-13|2025-11-13|2025-12-13,31|30|31|30,30.5,5.00|5.00|5.00|5.00|5.00,5.00,True
request_06,user_06,streaming,debit,subscription,5,2025-08-10|2025-09-10|2025-10-10|2025-11-10|2025-12-10,31|30|31|30,30.5,19.00|19.00|19.00|19.00|19.00,19.00,True
request_06,user_06,shopping,debit,expense,5,2025-08-13|2025-09-13|2025-10-13|2025-11-13|2025-12-13,31|30|31|30,30.5,41.44|46.25|39.46|37.96|39.88,39.88,True
request_06,user_06,entertainment,debit,expense,5,2025-08-15|2025-09-15|2025-10-15|2025-11-15|2025-12-15,31|30|31|30,30.5,32.10|35.10|32.18|37.36|38.33,35.10,True
request_06,user_06,groceries,debit,expense,18,2025-07-11|2025-07-21|2025-07-31|2025-08-10|2025-08-20|2025-08-30|2025-09-09|2025-09-19|2025-09-29|2025-10-09|2025-10-19|2025-10-29|2025-11-08|2025-11-18|2025-11-28|2025-12-08|2025-12-18|2025-12-28,10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10,10,43.16|53.56|49.49|43.57|31.69|50.53|51.97|48.32|51.55|46.22|32.96|51.40|34.00|45.40|51.23|40.91|52.76|32.69,47.27,False
request_06,user_06,transport,debit,expense,35,2025-07-12|2025-07-17|2025-07-22|2025-07-27|2025-08-01|2025-08-06|2025-08-11|2025-08-16|2025-08-21|2025-08-26|2025-08-31|2025-09-05|2025-09-10|2025-09-15|2025-09-20|2025-09-25|2025-09-30|2025-10-05|2025-10-10|2025-10-15|2025-10-20|2025-10-25|2025-10-30|2025-11-04|2025-11-09|2025-11-14|2025-11-19|2025-11-24|2025-11-29|2025-12-04|2025-12-09|2025-12-14|2025-12-19|2025-12-24|2025-12-29,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,5,23.68|23.83|24.21|19.73|32.17|27.80|28.03|26.82|27.29|31.89|27.65|29.46|21.32|29.47|28.08|31.87|21.10|28.87|28.61|22.14|28.65|23.31|29.32|24.50|31.69|30.82|27.59|32.36|27.97|29.57|19.18|25.90|24.92|21.46|32.90,27.80,True
request_06,user_06,dining,debit,expense,25,2025-07-13|2025-07-20|2025-07-27|2025-08-03|2025-08-10|2025-08-17|2025-08-24|2025-08-31|2025-09-07|2025-09-14|2025-09-21|2025-09-28|2025-10-05|2025-10-12|2025-10-19|2025-10-26|2025-11-02|2025-11-09|2025-11-16|2025-11-23|2025-11-30|2025-12-07|2025-12-14|2025-12-21|2025-12-28,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,53.26|50.79|34.99|42.10|48.98|46.84|38.44|37.25|40.23|43.95|56.60|48.14|37.02|47.33|54.09|53.71|32.90|43.17|37.42|55.16|57.57|45.39|36.00|57.28|48.36,46.84,True
request_07,user_07,salary,credit,income,5,2024-04-15|2024-05-15|2024-06-15|2024-07-15|2024-08-23,30|31|30|39,30.5,149000.00|149000.00|149000.00|149000.00|149000.00,149000.00,True
request_07,user_07,rent,debit,expense,6,2024-04-04|2024-05-04|2024-06-04|2024-07-04|2024-08-04|2024-09-04,30|31|30|31|31,31,34200.00|34200.00|34200.00|34200.00|34200.00|34200.00,34200.00,True
request_07,user_07,utilities,debit,expense,5,2024-04-08|2024-05-08|2024-06-08|2024-07-08|2024-08-08,30|31|30|31,30.5,7219.31|7049.68|7387.41|6081.25|6209.57,7049.68,True
request_07,user_07,debt_repayment,debit,debt_payment,5,2024-04-13|2024-05-13|2024-06-13|2024-07-13|2024-08-13,30|31|30|31,30.5,15650.00|15650.00|15650.00|15650.00|15650.00,15650.00,True
request_07,user_07,music_subscription,debit,subscription,5,2024-04-13|2024-05-13|2024-06-13|2024-07-13|2024-08-13,30|31|30|31,30.5,1005.00|1005.00|1005.00|1005.00|1005.00,1005.00,True
request_07,user_07,groceries,debit,expense,13,2024-03-14|2024-03-28|2024-04-11|2024-04-25|2024-05-09|2024-05-23|2024-06-06|2024-06-20|2024-07-04|2024-07-18|2024-08-01|2024-08-15|2024-08-29,14|14|14|14|14|14|14|14|14|14|14|14,14,8380.73|6433.29|6022.17|6789.05|8280.58|7329.91|7849.54|7968.39|6889.87|5665.77|7913.81|7280.22|5710.65,7280.22,True
request_07,user_07,transport,debit,expense,9,2024-03-15|2024-04-05|2024-04-26|2024-05-17|2024-06-07|2024-06-28|2024-07-19|2024-08-09|2024-08-30,21|21|21|21|21|21|21|21,21,3690.82|3465.99|2786.58|3104.36|2439.43|3822.62|2751.86|3773.92|3145.62,3145.62,False
request_07,user_07,dining,debit,expense,9,2024-03-11|2024-04-01|2024-04-22|2024-05-13|2024-06-03|2024-06-24|2024-07-15|2024-08-05|2024-08-26,21|21|21|21|21|21|21|21,21,7246.72|4111.12|6371.55|6313.91|5802.49|4541.62|6664.90|5799.66|6493.86,6313.91,False
request_08,user_08,salary,credit,income,5,2024-09-15|2024-10-15|2024-11-15|2024-12-15|2025-01-15,30|31|30|31,30.5,1422.85|1422.85|1422.85|1422.85|782.57,1422.85,True
request_08,user_08,rent,debit,expense,6,2024-09-01|2024-10-01|2024-11-01|2024-12-01|2025-01-01|2025-02-01,30|31|30|31|31,31,467.50|467.50|467.50|467.50|467.50|467.50,467.50,True
request_08,user_08,utilities,debit,expense,6,2024-09-05|2024-10-05|2024-11-05|2024-12-05|2025-01-05|2025-02-05,30|31|30|31|31,31,79.19|80.90|68.44|82.61|69.28|80.55,79.87,True
request_08,user_08,education,debit,expense,5,2024-09-07|2024-10-07|2024-11-07|2024-12-07|2025-01-07,30|31|30|31,30.5,89.00|89.00|89.00|89.00|89.00,89.00,True
request_08,user_08,debt_repayment,debit,debt_payment,5,2024-09-10|2024-10-10|2024-11-10|2024-12-10|2025-01-10,30|31|30|31,30.5,177.00|177.00|177.00|177.00|177.00,177.00,True
request_08,user_08,music_subscription,debit,subscription,5,2024-09-10|2024-10-10|2024-11-10|2024-12-10|2025-01-10,30|31|30|31,30.5,14.00|14.00|14.00|14.00|14.00,14.00,True
request_08,user_08,delivery_membership,debit,subscription,5,2024-09-12|2024-10-12|2024-11-12|2024-12-12|2025-01-12,30|31|30|31,30.5,24.00|24.00|24.00|24.00|24.00,24.00,True
request_08,user_08,groceries,debit,expense,26,2024-08-13|2024-08-20|2024-08-27|2024-09-03|2024-09-10|2024-09-17|2024-09-24|2024-10-01|2024-10-08|2024-10-15|2024-10-22|2024-10-29|2024-11-05|2024-11-12|2024-11-19|2024-11-26|2024-12-03|2024-12-10|2024-12-17|2024-12-24|2024-12-31|2025-01-07|2025-01-14|2025-01-21|2025-01-28|2025-02-04,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,78.42|77.07|51.01|52.28|68.00|54.35|46.71|74.35|48.16|68.99|57.01|47.78|51.60|76.07|69.32|60.11|51.00|56.62|55.02|53.11|51.85|48.00|45.99|53.96|65.92|72.38,54.68,True
request_08,user_08,transport,debit,expense,26,2024-08-14|2024-08-21|2024-08-28|2024-09-04|2024-09-11|2024-09-18|2024-09-25|2024-10-02|2024-10-09|2024-10-16|2024-10-23|2024-10-30|2024-11-06|2024-11-13|2024-11-20|2024-11-27|2024-12-04|2024-12-11|2024-12-18|2024-12-25|2025-01-01|2025-01-08|2025-01-15|2025-01-22|2025-01-29|2025-02-05,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,7,34.09|36.65|41.53|40.21|37.62|43.53|30.47|36.94|38.07|26.69|46.08|45.56|39.38|37.00|40.22|35.69|29.03|35.98|43.51|43.20|31.50|41.57|32.95|31.67|28.33|47.21,37.31,True
request_08,user_08,dining,debit,expense,13,2024-08-15|2024-08-29|2024-09-12|2024-09-26|2024-10-10|2024-10-24|2024-11-07|2024-11-21|2024-12-05|2024-12-19|2025-01-02|2025-01-16|2025-01-30,14|14|14|14|14|14|14|14|14|14|14|14,14,51.75|59.94|46.25|60.66|48.98|41.50|58.15|45.50|46.75|49.45|56.05|53.65|42.33,49.45,True
request_09,user_09,salary,credit,income,10,2026-02-07|2026-02-20|2026-03-07|2026-03-20|2026-04-07|2026-04-20|2026-05-07|2026-05-20|2026-06-07|2026-06-20,13|15|13|18|13|17|13|18|13,13,488.80|514.25|485.55|527.63|582.12|355.99|506.35|441.96|547.55|361.45,497.58,True
request_09,user_09,rent,debit,expense,6,2026-02-02|2026-03-02|2026-04-02|2026-05-02|2026-06-02|2026-07-02,28|31|30|31|30,30,211.20|211.20|211.20|211.20|211.20|211.20,211.20,True
request_09,user_09,utilities,debit,expense,5,2026-02-06|2026-03-06|2026-04-06|2026-05-06|2026-06-06,28|31|30|31,30.5,66.84|59.39|71.04|63.66|60.88,63.66,True
request_09,user_09,cloud_storage,debit,subscription,5,2026-02-12|2026-03-12|2026-04-12|2026-05-12|2026-06-12,28|31|30|31,30.5,5.00|5.00|5.00|5.00|5.00,5.00,True
request_09,user_09,streaming,debit,subscription,5,2026-02-09|2026-03-09|2026-04-09|2026-05-09|2026-06-09,28|31|30|31,30.5,20.00|20.00|20.00|20.00|20.00,20.00,True
request_09,user_09,shopping,debit,expense,5,2026-02-12|2026-03-12|2026-04-12|2026-05-12|2026-06-12,28|31|30|31,30.5,25.50|29.14|28.32|24.68|25.52,25.52,True
request_09,user_09,groceries,debit,expense,18,2026-01-08|2026-01-18|2026-01-28|2026-02-07|2026-02-17|2026-02-27|2026-03-09|2026-03-19|2026-03-29|2026-04-08|2026-04-18|2026-04-28|2026-05-08|2026-05-18|2026-05-28|2026-06-07|2026-06-17|2026-06-27,10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10,10,47.44|38.34|47.60|41.29|54.90|37.29|36.79|53.14|50.12|31.82|48.93|34.17|53.82|34.74|46.49|51.03|43.00|51.30,46.96,False
request_09,user_09,transport,debit,expense,9,2026-01-09|2026-01-30|2026-02-20|2026-03-13|2026-04-03|2026-04-24|2026-05-15|2026-06-05|2026-06-26,21|21|21|21|21|21|21|21,21,18.44|16.59|23.57|27.94|26.23|24.59|28.34|27.20|24.13,24.59,False
request_09,user_09,dining,debit,expense,9,2026-01-10|2026-01-31|2026-02-21|2026-03-14|2026-04-04|2026-04-25|2026-05-16|2026-06-06|2026-06-27,21|21|21|21|21|21|21|21,21,34.84|32.86|29.97|31.15|23.42|28.41|35.49|27.38|29.16,29.97,False
request_10,user_10,salary,credit,income,21,2024-07-04|2024-07-11|2024-07-18|2024-07-25|2024-08-04|2024-08-11|2024-08-18|2024-08-25|2024-09-04|2024-09-11|2024-09-18|2024-09-25|2024-10-04|2024-10-11|2024-10-18|2024-10-25|2024-11-04|2024-11-11|2024-11-18|2024-11-25|2024-12-04,7|7|7|10|7|7|7|10|7|7|7|9|7|7|7|10|7|7|7|9,7,74420.35|74852.29|54774.80|82410.47|72641.37|59553.07|65056.43|47245.98|81755.75|67741.04|79168.24|69351.86|78226.16|65488.36|60517.87|40977.52|60877.41|44415.50|47802.51|82667.27|52239.80,65488.36,True
request_10,user_10,rent,debit,expense,6,2024-07-03|2024-08-03|2024-09-03|2024-10-03|2024-11-03|2024-12-03,31|31|30|31|30,31,69100.00|69100.00|69100.00|69100.00|69100.00|69100.00,69100.00,True
request_10,user_10,utilities,debit,expense,5,2024-07-07|2024-08-07|2024-09-07|2024-10-07|2024-11-07,31|31|30|31,31,19224.83|17538.11|15748.74|15236.94|17771.13,17538.11,True
request_10,user_10,music_subscription,debit,subscription,5,2024-07-12|2024-08-12|2024-09-12|2024-10-12|2024-11-12,31|31|30|31,31,2800.00|2800.00|2800.00|2800.00|2800.00,2800.00,True
request_10,user_10,delivery_membership,debit,subscription,5,2024-07-14|2024-08-14|2024-09-14|2024-10-14|2024-11-14,31|31|30|31,31,1895.00|1895.00|1895.00|1895.00|1895.00,1895.00,True
